customer_zip_code_prefix,customer_count,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1003,1,1003,-23.54903244546711,-46.63531311226845,sao paulo,SP
1004,2,1004,-23.550115903139226,-46.63512161420169,sao paulo,SP
1005,6,1005,-23.549819091869107,-46.63560588995324,sao paulo,SP
1006,2,1006,-23.55052430835593,-46.63669363835193,sao paulo,SP
1007,4,1007,-23.550392524842728,-46.63730164071784,sao paulo,SP
1008,4,1008,-23.54425493154535,-46.634639135589296,sao paulo,SP
1009,7,1009,-23.54693540437998,-46.63658792659698,sao paulo,SP
1011,5,1011,-23.547639550320632,-46.63603162315495,sao paulo,SP
1012,3,1012,-23.547762303364262,-46.63536053788448,sao paulo,SP
1013,3,1013,-23.546923208436723,-46.6342636964915,sao paulo,SP
1014,4,1014,-23.546435343326205,-46.63383023397196,sao paulo,SP
1015,2,1015,-23.544826346129778,-46.63086956396899,sao paulo,SP
1016,1,1016,-23.54849512877264,-46.633490627676125,sao paulo,SP
1017,3,1017,-23.55001091199737,-46.63116636914989,sao paulo,SP
1019,2,1019,-23.552151883432384,-46.63080224715792,sao paulo,SP
1020,6,1020,-23.55223547100232,-46.6284406588955,sao paulo,SP
1021,2,1021,-23.54516769470249,-46.63224867958328,sao paulo,SP
1022,1,1022,-23.54498660505508,-46.63345367485142,sao paulo,SP
1023,1,1023,-23.54260295697964,-46.63094283625709,sao paulo,SP
1024,2,1024,-23.541389521053937,-46.62989908781218,sao paulo,SP
1025,1,1025,-23.539920936547933,-46.6283479287932,sao paulo,SP
1026,4,1026,-23.539494799586286,-46.63284391414975,sao paulo,SP
1027,3,1027,-23.538301166801343,-46.63076391104508,sao paulo,SP
1030,3,1030,-23.538363904524203,-46.63293009824575,sao paulo,SP
1031,4,1031,-23.536864121011018,-46.63349313820771,sao paulo,SP
1032,2,1032,-23.53841810407414,-46.634778375266734,sao paulo,SP
1033,6,1033,-23.54032130474925,-46.636394815973325,sao paulo,SP
1035,7,1035,-23.541577961711493,-46.64160722329613,sao paulo,SP
1036,3,1036,-23.541700023861782,-46.64131782056096,sao paulo,SP
1037,3,1037,-23.54562128115268,-46.63929204800168,sao paulo,SP
1038,2,1038,-23.542679676299095,-46.63819683884986,sao paulo,SP
1041,2,1041,-23.5443921648681,-46.63949930627844,sao paulo,SP
1042,6,1042,-23.54487359810152,-46.64030309449483,sao paulo,SP
1043,1,1043,-23.546656718016017,-46.64078762115524,sao paulo,SP
1044,4,1044,-23.54575105023373,-46.64132693574358,sao paulo,SP
1045,1,1045,-23.541593762969622,-46.64189378810082,sao paulo,SP
1046,18,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
1047,6,1047,-23.54627311241268,-46.64122516971552,sao paulo,SP
1048,7,1048,-23.547448918662464,-46.64016924063704,sao paulo,SP
1049,2,1049,-23.54530659310986,-46.636994571065735,sao paulo,SP
1050,7,1050,-23.549773516504185,-46.64559900666509,sao paulo,SP
1102,1,1102,-23.52261021648681,-46.62942387523806,sao paulo,SP
1103,6,1103,-23.53538864556528,-46.631747708436734,sao paulo,SP
1105,2,1105,-23.533744232586976,-46.63063486274458,sao paulo,SP
1106,12,1106,-23.53249635607949,-46.62640566388715,sao paulo,SP
1107,3,1107,-23.522004902014046,-46.63397365860703,sao paulo,SP
1108,1,1108,-23.52375957536492,-46.6324154521322,sao paulo,SP
1120,3,1120,-23.53076048626577,-46.639216010416,sao paulo,SP
1121,4,1121,-23.524588477378973,-46.634392141554585,sao paulo,SP
1122,7,1122,-23.531280767701485,-46.637260391482464,sao paulo,SP
1123,6,1123,-23.529307180131543,-46.63490526351788,sao paulo,SP
1124,1,1124,-23.527367392723217,-46.63188348903572,sao paulo,SP
1125,3,1125,-23.529050497085805,-46.63889432139766,sao paulo,SP
1127,3,1127,-23.52773504025041,-46.64480016028046,sao paulo,SP
1129,5,1129,-23.5259237463212,-46.642131776011375,sao paulo,SP
1131,8,1131,-23.52164183207347,-46.64747554830047,sao paulo,SP
1132,3,1132,-23.51929180460501,-46.64980089647412,sao paulo,SP
1134,3,1134,-23.51867680707737,-46.6531159131789,sao paulo,SP
1135,7,1135,-23.52122103136361,-46.65296293450282,sao paulo,SP
1136,1,1136,-23.52350959838998,-46.666944167638064,sao paulo,SP
1137,4,1137,-23.51957274271452,-46.654271565497176,sao paulo,SP
1138,5,1138,-23.5188254074384,-46.65562359824576,sao paulo,SP
1139,8,1139,-23.52076037607479,-46.661384138207694,sao paulo,SP
1140,6,1140,-23.517930174303164,-46.66742959008009,sao paulo,SP
1141,5,1141,-23.52011919677996,-46.66584000098096,sao paulo,SP
1144,2,1144,-23.52362350735759,-46.67201579877662,sao paulo,SP
1150,5,1150,-23.532255303364263,-46.662756071469765,sao paulo,SP
1151,9,1151,-23.527788191788307,-46.66030962184773,sao paulo,SP
1152,5,1152,-23.52916893282939,-46.65214846073055,sao paulo,SP
1153,10,1153,-23.52811869885744,-46.65645154579032,sao paulo,SP
1154,9,1154,-23.53158118373822,-46.66174681473255,sao paulo,SP
1155,4,1155,-23.52878808243405,-46.664404203300826,sao paulo,SP
1156,6,1156,-23.5298272739339,-46.66466605744709,sao paulo,SP
1201,7,1201,-23.53435725950717,-46.64935629739165,sao paulo,SP
1202,10,1202,-23.530243903687488,-46.65091042186511,sao paulo,SP
1203,5,1203,-23.537119379681474,-46.64438743865777,sao paulo,SP
1204,5,1204,-23.53680115237462,-46.644416271856414,sao paulo,SP
1205,1,1205,-23.53176047100233,-46.64592571455356,sao paulo,SP
1206,3,1206,-23.535535799324883,-46.64305202830518,sao paulo,SP
1207,4,1207,-23.536840620318525,-46.640393035807016,sao paulo,SP
1208,1,1208,-23.540822507357586,-46.6397147149576,sao paulo,SP
1209,4,1209,-23.539446764643067,-46.639378335968615,sao paulo,SP
1210,6,1210,-23.540860990564934,-46.64385528059898,sao paulo,SP
1211,6,1211,-23.53582223582903,-46.651605049299015,sao paulo,SP
1213,2,1213,-23.536400280050746,-46.64003758881069,sao paulo,SP
1214,7,1214,-23.53569581346678,-46.64141313885349,sao paulo,SP
1215,3,1215,-23.537982300854097,-46.64927618235323,sao paulo,SP
1216,5,1216,-23.53597285667968,-46.651407002063245,sao paulo,SP
1217,3,1217,-23.533844773241405,-46.64940663613022,sao paulo,SP
1218,5,1218,-23.531544680824037,-46.65066866833055,sao paulo,SP
1219,7,1219,-23.540223573951277,-46.645277138092126,sao paulo,SP
